Consulta,Termo de pesquisa,Seção,URL,Título,Resumo,Data
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/despachos-668644208,DESPACHOS,"suas atribuições legais, declara que o exato nome do genitor de NAZAR ZAMIL FAKHIR BEDEN, incluído na <span class='highlight' style='background:#FFA;'>Portaria</span> ... de suas atribuições legais, declara que o exato nome da genitora de PATRICK NZERIBE ANI, incluído na <span class='highlight' style='background:#FFA;'>Portaria</span> ... suas atribuições legais, declara que o exato nome do genitor de DIVALDO AUGUSTO QUEIROZ, incluído na <span class='highlight' style='background:#FFA;'>Portaria</span> ... , no uso de suas atribuições legais, declara que o exato nome da genitora de RITA SATI, incluído na <span class='highlight' style='background:#FFA;'>Portaria</span> ... NACIONAL DE JUSTIÇA, no uso de suas atribuições legais, declara que MOHAMMED ALMEHDHAR, incluído na <span class='highlight' style='background:#FFA;'>Portaria</span> ",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/instrucao-normativa-secom/pr-n-9-de-12-de-novembro-de-2025-668644129,"INSTRUÇÃO NORMATIVA SECOM/PR Nº 9, DE 12 DE NOVEMBRO DE 2025","o Cadastro Nacional de Agentes de Veiculação de Publicidade - MIDIACAD, nos termos estabelecidos na <span class='highlight' style='background:#FFA;'>Portaria</span> ... de propriedade do contratante que podem ser utilizados nas ações de comunicação, tais como: sítios e <span class='highlight' style='background:#FFA;'>portais</span> ... especificação do início de atendimento de cada um deles, observadas as condições estabelecidas no edital. - o <span class='highlight' style='background:#FFA;'>porte</span> ... especificação do início de atendimento e do objeto do contrato ou do serviço prestado a cada um deles. - O <span class='highlight' style='background:#FFA;'>porte</span> ",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/instrucao-normativa-n-153-de-10-de-novembro-de-2025-668644050,"INSTRUÇÃO NORMATIVA Nº 153, DE 10 DE NOVEMBRO DE 2025","de 10 de outubro de 2022, combinado com o art. 143 do Regimento Interno da Autarquia, aprovado pela <span class='highlight' style='background:#FFA;'>Portaria</span> ... caso de não localização do processo originário, será promovida a reconstituição dos autos à luz da <span class='highlight' style='background:#FFA;'>Portaria</span> ... no uso das atribuições que lhe foram conferidas pelo artigo 148, do Regimento Interno, aprovado pela <span class='highlight' style='background:#FFA;'>Portaria</span> ... O PRESIDENTE DO INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA, nomeado pela <span class='highlight' style='background:#FFA;'>Portaria</span> da ... de 10 de outubro de 2022, combinado com o art. 143 do Regimento Interno da Autarquia, aprovado pela <span class='highlight' style='background:#FFA;'>Portaria</span> ",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/portaria-suframa-n-2.247-de-10-de-novembro-de-2025-668643568,"<span class='highlight' style='background:#FFA;'>Portaria</span> SUFRAMA Nº 2.247, DE 10 DE novembro DE 2025"," <span class='highlight' style='background:#FFA;'>Portaria</span> SUFRAMA Nº 2.247, DE 10 DE novembro DE 2025 Aprova o projeto industrial de DIVERSIFICAÇÃO da ... insumos de origem estrangeira, utilizados na fabricação do produto ao qual se refere o Art. 1º desta <span class='highlight' style='background:#FFA;'>Portaria</span> ... de outras cominações legais cabíveis: I - o cumprimento do Processo Produtivo Básico definido pela <span class='highlight' style='background:#FFA;'>Portaria</span> ... deduzidos os tributos correspondentes à comercialização do produto a que se refere o Art. 1º desta <span class='highlight' style='background:#FFA;'>Portaria</span> ... Art. 4º Esta <span class='highlight' style='background:#FFA;'>Portaria</span> entra em vigor na data de sua publicação. JOÃO BOSCO GOMES SARAIVA",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/retificacao-668643489,RETIFICAÇÃO,"FAZENDA NACIONAL 48 - Processo nº: 10865.902408/2021-34 - Recorrente: MERCURIO PRESTADORA DE SERVICOS DE <span class='highlight' style='background:#FFA;'>PORTARIA</span> RETIFICAÇÃO Na Pauta de Julgamento da 9ª Turma Recursal, publicada no DOU de 12/11/2025, Seção 1, página 37 Onde se lê: "" 9 - Processo nº: 10920.906180/2019-25 - Recorrente: FT SEGURANCA E SERVICOS LTDA e Interessado: FAZENDA NACIO...",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/autorizacao-sdl-anp-n-703-de-12-de-novembro-de-2025-668643254,"AUTORIZAÇÃO SDL-ANP Nº 703, DE 12 DE NOVEMBRO DE 2025","PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP, no uso das atribuições que lhe foram conferidas pela <span class='highlight' style='background:#FFA;'>Portaria</span> AUTORIZAÇÃO SDL-ANP Nº 703, DE 12 DE NOVEMBRO DE 2025 O SUPERINTENDENTE DE DISTRIBUIÇÃO E LOGÍSTICA da AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP, no uso das atribuições que lhe foram conferidas pela Portaria ANP ...",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/resolucao-cd-n-68-de-10-de-novembro-de-2025-668642614,"RESOLUÇÃO - CD Nº 68, DE 10 DE NOVEMBRO DE 2025","de 09 de setembro de 2024, combinado com o art. 141 do Regimento Interno da Autarquia, aprovado pela <span class='highlight' style='background:#FFA;'>Portaria</span> RESOLUÇÃO - CD Nº 68, DE 10 DE NOVEMBRO DE 2025 Aprova a Instrução Normativa n.º 153, de 10 de novembro de 2025, que estabelece os procedimentos para monitoramento e análise do cumprimento e liberação das cláusulas e condições resoluti...",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/resolucao-cd-n-69-de-10-de-novembro-de-2025-668642533,"RESOLUÇÃO - CD Nº 69, DE 10 DE NOVEMBRO DE 2025","de 09 de setembro de 2024, combinado com o art. 141 do Regimento Interno da Autarquia, aprovado pela <span class='highlight' style='background:#FFA;'>Portaria</span> ... processo administrativo n.º 54000.119984/2021-63; resolve: Art. 1º Referendar a decisão contida na <span class='highlight' style='background:#FFA;'>Portaria</span> RESOLUÇÃO - CD Nº 69, DE 10 DE NOVEMBRO DE 2025 Aprova a Instrução ...",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/portaria-suframa-n-2.251-de-12-de-novembro-de-2025-668642371,"<span class='highlight' style='background:#FFA;'>Portaria</span> SUFRAMA Nº 2.251, DE 12 DE novembro DE 2025"," <span class='highlight' style='background:#FFA;'>Portaria</span> SUFRAMA Nº 2.251, DE 12 DE novembro DE 2025 Aprova o projeto industrial de DIVERSIFICAÇÃO da ... insumos de origem estrangeira, utilizados na fabricação do produto a que se refere o art. 1º desta <span class='highlight' style='background:#FFA;'>Portaria</span> ... legais cabíveis: I - o cumprimento, quando da fabricação do produto a qual se refere o art. 1º desta <span class='highlight' style='background:#FFA;'>Portaria</span> ... exigências contidas na Resolução CAS nº 205, de 25 de fevereiro de 2021, bem como as demais Resoluções, <span class='highlight' style='background:#FFA;'>Portarias</span> ... Art. 4º Esta <span class='highlight' style='background:#FFA;'>Portaria</span> entra em vigor na data de sua publicação. JOÃO BOSCO GOMES SARAIVA",13/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/despacho-de-12-de-novembro-de-2025-668642287,DESPACHO DE 12 DE NOVEMBRO DE 2025,"do ente em face da União e suas controladas, nos termos dos incisos II e III do § 6º do art. 2º da <span class='highlight' style='background:#FFA;'>Portaria</span> na-MG. Assunto: Minutas de contrato de garantia e de contragarantia relativas a operação de crédito interna, a ser celebrada entre o Município de Mariana-MG e a Caixa Econômica Federal, no valor de R$ 34.083.966,93 (trinta e quatro milhõ...",13/11/2025
