airflow-scheduler  | 
airflow-scheduler  | /home/airflow/.local/lib/python3.10/site-packages/airflow/configuration.py:728 DeprecationWarning: The auth_backend option in [api] has been renamed to auth_backends - the old setting has been used, but please update your config.
airflow-scheduler  | /home/airflow/.local/lib/python3.10/site-packages/airflow/configuration.py:751 DeprecationWarning: The auth_backend option in [api] has been renamed to auth_backends - the old setting has been used, but please update your config.
airflow-scheduler  | /home/airflow/.local/lib/python3.10/site-packages/airflow/configuration.py:765 FutureWarning: The auth_backends setting in [api] has had airflow.api.auth.backend.session added in the running config, which is needed by the UI. Please update your config before Apache Airflow 3.0.
airflow-scheduler  | DB: postgresql+psycopg2://airflow:***@postgres/airflow
airflow-scheduler  | Performing upgrade to the metadata database postgresql+psycopg2://airflow:***@postgres/airflow
airflow-scheduler  | [2025-11-15T19:04:34.177+0000] {migration.py:215} INFO - Context impl PostgresqlImpl.
airflow-scheduler  | [2025-11-15T19:04:34.179+0000] {migration.py:218} INFO - Will assume transactional DDL.
airflow-scheduler  | [2025-11-15T19:04:34.183+0000] {migration.py:215} INFO - Context impl PostgresqlImpl.
airflow-scheduler  | [2025-11-15T19:04:34.183+0000] {migration.py:218} INFO - Will assume transactional DDL.
airflow-scheduler  | [2025-11-15T19:04:34.184+0000] {db.py:1674} INFO - Creating tables
airflow-scheduler  | INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
airflow-scheduler  | INFO  [alembic.runtime.migration] Will assume transactional DDL.
airflow-scheduler  | INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
airflow-scheduler  | INFO  [alembic.runtime.migration] Will assume transactional DDL.
airflow-scheduler  | Database migrating done!
airflow-scheduler  | WARNING: Environment variable '_AIRFLOW_DB_UPGRADE' is deprecated please use '_AIRFLOW_DB_MIGRATE' instead
airflow-scheduler  | /home/airflow/.local/lib/python3.10/site-packages/airflow/configuration.py:728 DeprecationWarning: The auth_backend option in [api] has been renamed to auth_backends - the old setting has been used, but please update your config.
